Adobe After Effects 8.0 Keyframe Data

	Units Per Second	30
	Source Width	100
	Source Height	100
	Source Pixel Aspect Ratio	1
	Comp Pixel Aspect Ratio	1

Effects	Slider Control #3	Slider #2
	Frame		
	644	1.49946	
	645	2.14109	
	646	1.88884	
	647	1.95731	
	648	1.99773	
	649	1.83425	
	650	1.70152	
	651	1.27321	
	652	1.75192	
	653	1.18076	
	654	1.12598	
	655	1.12072	
	656	1.38361	
	657	1.75254	
	658	1.96237	
	659	1.67032	
	660	1.83925	
	661	1.25712	
	662	1.47181	
	663	1.44167	
	664	1.09077	
	665	1.39914	
	666	1.87179	
	667	1.78727	
	668	2.48872	
	669	1.27395	
	670	2.51943	
	671	1.41583	
	672	1.54268	
	673	1.4721	
	674	2.5466	
	675	1.94456	
	676	1.38162	
	677	1.159	
	678	1.43765	
	679	2.29707	
	680	1.06046	
	681	1.38902	
	682	1.35015	
	683	2.0963	
	684	1.09398	
	685	2.23131	
	686	2.17722	
	687	1.3029	
	688	1.54313	
	689	1.26737	
	690	1.52184	
	691	1.24062	
	692	2.12719	
	693	1.64708	
	694	1.68052	
	695	1.07912	
	696	1.37391	
	697	1.35917	
	698	1.06419	
	699	1.19122	
	700	0.959628	
	701	3.06523	
	702	1.29899	
	703	1.64215	
	704	1.4667	
	705	1.69461	
	706	1.68926	
	707	1.98287	
	708	1.61295	
	709	1.94552	
	710	1.88672	
	711	1.28576	
	712	1.88606	
	713	1.16035	
	714	1.50984	
	715	1.23112	
	716	1.5939	
	717	1.66976	
	718	1.17093	
	719	2.40154	
	720	1.2574	
	721	2.72379	
	722	1.22199	
	723	1.26032	
	724	1.18193	
	725	1.39065	
	726	1.22049	
	727	1.14048	
	728	2.85511	
	729	1.0129	
	730	2.09311	
	731	1.64897	
	732	1.71015	
	733	1.27911	
	734	1.37473	
	735	1.4109	
	736	1.26089	
	737	2.03735	
	738	0.883357	
	739	0.965155	
	740	0.944214	
	741	1.07921	
	742	1.0857	
	743	1.00625	
	744	1.10547	
	745	0.688663	
	746	1.59796	
	747	0.985984	
	748	1.67819	
	749	2.01484	
	750	0.844587	
	751	0.753118	
	752	1.03677	
	753	0.994241	
	754	1.16023	
	755	0.994892	
	756	0.883498	
	757	2.27526	
	758	1.02125	
	759	0.913449	
	760	0.920099	
	761	0.942767	
	762	1.01269	
	763	0.906131	
	764	1.08946	
	765	1.00262	
	766	0.669772	
	767	0.839432	
	768	1.00319	
	769	0.753831	
	770	0.81337	
	771	0.853006	
	772	0.716107	
	773	1.30439	
	774	0.936428	
	775	0.618053	
	776	0.591297	
	777	0.608786	
	778	0.537955	
	779	1.19786	
	780	1.187	
	781	0.632087	
	782	1.4505	
	783	1.10571	
	784	0.759327	
	785	0.663813	
	786	0.556296	
	787	0.616293	
	788	0.719191	
	789	0.826508	
	790	0.769664	
	791	1.22207	
	792	0.840904	
	793	0.647769	
	794	0.694236	
	795	0.640982	
	796	0.465945	
	797	0.508132	
	798	1.05259	
	799	1.48179	
	800	0.829102	
	801	0.67611	
	802	0.517062	
	803	0.562507	
